userID,username,retweet user,utc off,profile created,favorites,followers,following,tweets,tweetID,retweetID,retweet count,extended,text,date,day,year,month,day,hour,min,sec,url,lat,lon,mentions
'2900870174,b'PCornale4',,Sat Nov 15 21:27:48 +0000 2014,13961,820,1122,5164,'855633355265630208,'855188780533260292,GreysABC,3885,False,rt @greysabc: this #greysanatomy #throwback moment is simply unforgettable. @lexus https://t.co/tztwdcv2m8,Sat Apr 22 04:04:23 +0000 2017,Sat,2017,Apr,22,04,04,23,http://twitter.com/b'PCornale4'/status/855633355265630208,,
'379410352,b'mhill226',,Sat Sep 24 22:35:50 +0000 2011,4632,443,617,1417,'855633372978327552,'855578647947862016,KellyRawlings,8,False,rt @kellyrawlings: rt if you've been participant [comma] researcher [comma] funder [comma] donor for or reported on a clinical trial #bethescience #marchforscie  [...] ,Sat Apr 22 04:04:27 +0000 2017,Sat,2017,Apr,22,04,04,27,http://twitter.com/b'mhill226'/status/855633372978327552,,
'104378977,b'kvssandra',,Wed Jan 13 04:27:59 +0000 2010,5874,282,236,1517,'855633423934910464,'855600063611121664,KassidyAyala,66,False,rt @kassidyayala: a stranger gave my brother 50$ at olive garden because he finished his chemo therapy yesterday and he bought books  [...] ,Sat Apr 22 04:04:39 +0000 2017,Sat,2017,Apr,22,04,04,39,http://twitter.com/b'kvssandra'/status/855633423934910464,,
'92882822,b'_colormenessa',-5.0,Fri Nov 27 02:15:57 +0000 2009,1729,1274,1167,23477,'855633446684819458,'855581949259382784,onherperiod,265,False,rt @onherperiod: what in shondaland fertilization https://t.co/oshxsn8xau,Sat Apr 22 04:04:45 +0000 2017,Sat,2017,Apr,22,04,04,45,http://twitter.com/b'_colormenessa'/status/855633446684819458,,
'2193352290,b'burymeinbreds',-4.0,Thu Nov 14 02:28:27 +0000 2013,15186,302,256,21233,'855633508068405248,,,0,False,i thought greys anatomy was pretty graphic but the night shift is 10x worse,Sat Apr 22 04:04:59 +0000 2017,Sat,2017,Apr,22,04,04,59,http://twitter.com/b'burymeinbreds'/status/855633508068405248,,
'3410067254,b'op_def_bot',10.0,Tue Sep 01 02:26:23 +0000 2015,0,22,5,37935,'855633524522532864,,,0,False,the transformation of sessions: sides & greys in an unappetizing world,Sat Apr 22 04:05:03 +0000 2017,Sat,2017,Apr,22,04,05,03,http://twitter.com/b'op_def_bot'/status/855633524522532864,,
'455400072,b'S_Beaulieuuu',-5.0,Thu Jan 05 02:25:00 +0000 2012,2698,518,742,6620,'855633537982189569,'855581949259382784,onherperiod,266,False,rt @onherperiod: what in shondaland fertilization https://t.co/oshxsn8xau,Sat Apr 22 04:05:07 +0000 2017,Sat,2017,Apr,22,04,05,07,http://twitter.com/b'S_Beaulieuuu'/status/855633537982189569,,
'4699218062,b'Logan_e_cone',,Sat Jan 02 23:32:01 +0000 2016,248,88,138,135,'855633561088651264,'855179537713422337,ItsGreysHumor,1025,False,rt @itsgreyshumor: watching greys like... https://t.co/v47icjchko,Sat Apr 22 04:05:12 +0000 2017,Sat,2017,Apr,22,04,05,12,http://twitter.com/b'Logan_e_cone'/status/855633561088651264,,
'451855410,b'sanggariselvam',8.0,Sun Jan 01 03:36:38 +0000 2012,747,540,2016,23501,'855633615702470656,'852310832507572224,HitmanBodyguard,6007,False,rt @hitmanbodyguard: zero muthafuckas censored. watch @vancityreynolds and @samuelljackson in the #hitmansbodyguard restricted teaser tr  [...] ,Sat Apr 22 04:05:25 +0000 2017,Sat,2017,Apr,22,04,05,25,http://twitter.com/b'sanggariselvam'/status/855633615702470656,,
'244751138,b'_catdavis',-6.0,Sun Jan 30 01:58:13 +0000 2011,16745,682,250,18106,'855633622019092480,,,0,False,started to rewatch the ep of greys where derek gets shot but but i wasn't ready for that level of emotional damage again so off it went,Sat Apr 22 04:05:27 +0000 2017,Sat,2017,Apr,22,04,05,27,http://twitter.com/b'_catdavis'/status/855633622019092480,,
