\\U0001f34c, _emoj_banana_ 
\\U0001f34d, _emoj_pineapple_ 
\\U0001f34e, _emoj_apple_ 
\\U0001f34f, _emoj_green_apple_ 
\\U0001f350, _emoj_pear_ 
\\U0001f351, _emoj_peach_ 
\\U0001f352, _emoj_cherries_ 
\\U0001f353, _emoj_strawberry_ 
\\U0001f354, _emoj_hamburger_ 
\\U0001f355, _emoj_pizza_ 
\\U0001f356, _emoj_meat_on_bone_ 
\\U0001f357, _emoj_poultry_leg_ 
\\U0001f358, _emoj_rice_cracker_ 
\\U0001f359, _emoj_rice_ball_ 
\\U0001f35a, _emoj_rice_ 
\\U0001f35b, _emoj_curry_ 
\\U0001f35c, _emoj_ramen_ 
\\U0001f35d, _emoj_spaghetti_ 
\\U0001f35e, _emoj_bread_ 
\\U0001f35f, _emoj_fries_ 
\\U0001f360, _emoj_sweet_potato_ 
\\U0001f361, _emoj_dango_ 
\\U0001f362, _emoj_oden_ 
\\U0001f363, _emoj_sushi_ 
\\U0001f364, _emoj_fried_shrimp_ 
\\U0001f365, _emoj_fish_cake_ 
\\U0001f366, _emoj_icecream_ 
\\U0001f367, _emoj_shaved_ice_ 
\\U0001f368, _emoj_ice_cream_ 
\\U0001f369, _emoj_doughnut_ 
\\U0001f36a, _emoj_cookie_ 
\\U0001f36b, _emoj_chocolate_bar_ 
\\U0001f36c, _emoj_candy_ 
\\U0001f36d, _emoj_lollipop_ 
\\U0001f36e, _emoj_custard_ 
\\U0001f36f, _emoj_honey_pot_ 
\\U0001f370, _emoj_cake_ 
\\U0001f371, _emoj_bento_ 
\\U0001f372, _emoj_stew_ 
\\U0001f373, _emoj_egg_ 
\\U0001f374, _emoj_fork_and_knife_ 
\\U0001f375, _emoj_tea_ 
\\U0001f376, _emoj_sake_ 
\\U0001f377, _emoj_wine_glass_ 
\\U0001f378, _emoj_cocktail_ 
\\U0001f379, _emoj_tropical_drink_ 
\\U0001f37a, _emoj_beer_ 
\\U0001f37b, _emoj_beers_ 
\\U0001f37c, _emoj_baby_bottle_ 
\\U0001f380, _emoj_ribbon_ 
\\U0001f381, _emoj_gift_ 
\\U0001f382, _emoj_birthday_ 
\\U0001f383, _emoj_jack_o_lantern_ 
\\U0001f384, _emoj_christmas_tree_ 
\\U0001f385, _emoj_santa_ 
\\U0001f386, _emoj_fireworks_ 
\\U0001f387, _emoj_sparkler_ 
\\U0001f388, _emoj_balloon_ 
\\U0001f389, _emoj_tada_ 
\\U0001f38a, _emoj_confetti_ball_ 
\\U0001f38b, _emoj_tanabata_tree_ 
\\U0001f38c, _emoj_crossed_flags_ 
\\U0001f38d, _emoj_bamboo_ 
\\U0001f38e, _emoj_dolls_ 
\\U0001f38f, _emoj_flags_ 
\\U0001f390, _emoj_wind_chime_ 
\\U0001f391, _emoj_rice_scene_ 
\\U0001f392, _emoj_school_satchel_ 
\\U0001f393, _emoj_mortar_board_ 
\\U0001f3a0, _emoj_carousel_horse_ 
\\U0001f3a1, _emoj_ferris_wheel_ 
\\U0001f3a2, _emoj_roller_coaster_ 
\\U0001f3a3, _emoj_fishing_pole_and_fish_ 
\\U0001f3a4, _emoj_microphone_ 
\\U0001f3a5, _emoj_movie_camera_ 
\\U0001f3a6, _emoj_cinema_ 
\\U0001f3a7, _emoj_headphones_ 
\\U0001f3a8, _emoj_art_ 
\\U0001f3a9, _emoj_tophat_ 
\\U0001f3aa, _emoj_circus_tent_ 
\\U0001f3ab, _emoj_ticket_ 
\\U0001f3ac, _emoj_clapper_ 
\\U0001f3ad, _emoj_performing_arts_ 
\\U0001f3ae, _emoj_video_game_ 
\\U0001f3af, _emoj_dart_ 
\\U0001f3b0, _emoj_slot_machine_ 
\\U0001f3b1, _emoj_8ball_ 
\\U0001f3b2, _emoj_game_die_ 
\\U0001f3b3, _emoj_bowling_ 
\\U0001f3b4, _emoj_flower_playing_cards_ 
\\U0001f3b5, _emoj_musical_note_ 
\\U0001f3b6, _emoj_notes_ 
\\U0001f3b7, _emoj_saxophone_ 
\\U0001f3b8, _emoj_guitar_ 
\\U0001f3b9, _emoj_musical_keyboard_ 
\\U0001f3ba, _emoj_trumpet_ 
\\U0001f3bb, _emoj_violin_ 
\\U0001f3bc, _emoj_musical_score_ 
\\U0001f3bd, _emoj_running_shirt_with_sash_ 
\\U0001f3be, _emoj_tennis_ 
\\U0001f3bf, _emoj_ski_ 
\\U0001f3c0, _emoj_basketball_ 
\\U0001f3c1, _emoj_checkered_flag_ 
\\U0001f3c2, _emoj_snowboarder_ 
\\U0001f3c3, _emoj_running_ 
\\U0001f3c4, _emoj_surfer_ 
\\U0001f3c6, _emoj_trophy_ 
\\U0001f3c7, _emoj_horse_racing_ 
\\U0001f3c8, _emoj_football_ 
\\U0001f3c9, _emoj_rugby_football_ 
\\U0001f3ca, _emoj_swimmer_ 
\\U0001f3e0, _emoj_house_ 
\\U0001f3e1, _emoj_house_with_garden_ 
\\U0001f3e2, _emoj_office_ 
\\U0001f3e3, _emoj_post_office_ 
\\U0001f3e4, _emoj_european_post_office_ 
\\U0001f3e5, _emoj_hospital_ 
\\U0001f3e6, _emoj_bank_ 
\\U0001f3e7, _emoj_atm_ 
\\U0001f3e8, _emoj_hotel_ 
\\U0001f3e9, _emoj_love_hotel_ 
\\U0001f3ea, _emoj_convenience_store_ 
\\U0001f3eb, _emoj_school_ 
\\U0001f3ec, _emoj_department_store_ 
\\U0001f3ed, _emoj_factory_ 
\\U0001f3ee, _emoj_izakaya_lantern_ 
\\U0001f3ef, _emoj_japanese_castle_ 
\\U0001f3f0, _emoj_european_castle_ 
\\U0001f400, _emoj_rat_ 
\\U0001f401, _emoj_mouse2_ 
\\U0001f402, _emoj_ox_ 
\\U0001f403, _emoj_water_buffalo_ 
\\U0001f404, _emoj_cow2_ 
\\U0001f405, _emoj_tiger2_ 
\\U0001f406, _emoj_leopard_ 
\\U0001f407, _emoj_rabbit2_ 
\\U0001f408, _emoj_cat2_ 
\\U0001f409, _emoj_dragon_ 
\\U0001f40a, _emoj_crocodile_ 
\\U0001f40b, _emoj_whale2_ 
\\U0001f40c, _emoj_snail_ 
\\U0001f40d, _emoj_snake_ 
\\U0001f40e, _emoj_racehorse_ 
\\U0001f40f, _emoj_ram_ 
\\U0001f410, _emoj_goat_ 
\\U0001f411, _emoj_sheep_ 
\\U0001f412, _emoj_monkey_ 
\\U0001f413, _emoj_rooster_ 
\\U0001f414, _emoj_chicken_ 
\\U0001f415, _emoj_dog2_ 
\\U0001f416, _emoj_pig2_ 
\\U0001f417, _emoj_boar_ 
\\U0001f418, _emoj_elephant_ 
\\U0001f419, _emoj_octopus_ 
\\U0001f41a, _emoj_shell_ 
\\U0001f41b, _emoj_bug_ 
\\U0001f41c, _emoj_ant_ 
\\U0001f41d, _emoj_bee_ 
\\U0001f41e, _emoj_beetle_ 
\\U0001f41f, _emoj_fish_ 
\\U0001f420, _emoj_tropical_fish_ 
\\U0001f421, _emoj_blowfish_ 
\\U0001f422, _emoj_turtle_ 
\\U0001f423, _emoj_hatching_chick_ 
\\U0001f424, _emoj_baby_chick_ 
\\U0001f425, _emoj_hatched_chick_ 
\\U0001f426, _emoj_bird_ 
\\U0001f427, _emoj_penguin_ 
\\U0001f428, _emoj_koala_ 
\\U0001f429, _emoj_poodle_ 
\\U0001f42a, _emoj_dromedary_camel_ 
\\U0001f42b, _emoj_camel_ 
\\U0001f42c, _emoj_flipper_ 
\\U0001f42d, _emoj_mouse_ 
\\U0001f42e, _emoj_cow_ 
\\U0001f42f, _emoj_tiger_ 
\\U0001f430, _emoj_rabbit_ 
\\U0001f431, _emoj_cat_ 
\\U0001f432, _emoj_dragon_face_ 
\\U0001f433, _emoj_whale_ 
\\U0001f434, _emoj_horse_ 
\\U0001f435, _emoj_monkey_face_ 
\\U0001f436, _emoj_dog_ 
\\U0001f437, _emoj_pig_ 
\\U0001f438, _emoj_frog_ 
\\U0001f439, _emoj_hamster_ 
\\U0001f43a, _emoj_wolf_ 
\\U0001f43b, _emoj_bear_ 
\\U0001f43c, _emoj_panda_face_ 
\\U0001f43d, _emoj_pig_nose_ 
\\U0001f43e, _emoj_paw_prints_ 
\\U0001f440, _emoj_eyes_ 
\\U0001f442, _emoj_ear_ 
\\U0001f443, _emoj_nose_ 
\\U0001f444, _emoj_lips_ 
\\U0001f445, _emoj_tongue_ 
\\U0001f446, _emoj_point_up_2_ 
\\U0001f447, _emoj_point_down_ 
\\U0001f448, _emoj_point_left_ 
\\U0001f449, _emoj_point_right_ 
\\U0001f44a, _emoj_facepunch_ 
\\U0001f44b, _emoj_wave_ 
\\U0001f44c, _emoj_ok_hand_ 
\\U0001f44d, _emoj_thumbsup_ 
\\U0001f44e, _emoj_-1_ 
\\U0001f44f, _emoj_clap_ 
\\U0001f450, _emoj_open_hands_ 
\\U0001f451, _emoj_crown_ 
\\U0001f452, _emoj_womans_hat_ 
\\U0001f453, _emoj_eyeglasses_ 
\\U0001f454, _emoj_necktie_ 
\\U0001f455, _emoj_tshirt_ 
\\U0001f456, _emoj_jeans_ 
\\U0001f457, _emoj_dress_ 
\\U0001f458, _emoj_kimono_ 
\\U0001f459, _emoj_bikini_ 
\\U0001f45a, _emoj_womans_clothes_ 
\\U0001f45b, _emoj_purse_ 
\\U0001f45c, _emoj_handbag_ 
\\U0001f45d, _emoj_pouch_ 
\\U0001f45e, _emoj_shoe_ 
\\U0001f45f, _emoj_athletic_shoe_ 
\\U0001f460, _emoj_high_heel_ 
\\U0001f461, _emoj_sandal_ 
\\U0001f462, _emoj_boot_ 
\\U0001f463, _emoj_footprints_ 
\\U0001f464, _emoj_bust_in_silhouette_ 
\\U0001f465, _emoj_busts_in_silhouette_ 
\\U0001f466, _emoj_boy_ 
\\U0001f467, _emoj_girl_ 
\\U0001f468, _emoj_man_ 
\\U0001f469, _emoj_woman_ 
\\U0001f46a, _emoj_family_ 
\\U0001f46b, _emoj_couple_ 
\\U0001f46c, _emoj_two_men_holding_hands_ 
\\U0001f46d, _emoj_two_women_holding_hands_ 
\\U0001f46e, _emoj_cop_ 
\\U0001f46f, _emoj_dancers_ 
\\U0001f470, _emoj_bride_with_veil_ 
\\U0001f471, _emoj_person_with_blond_hair_ 
\\U0001f472, _emoj_man_with_gua_pi_mao_ 
\\U0001f473, _emoj_man_with_turban_ 
\\U0001f474, _emoj_older_man_ 
\\U0001f475, _emoj_older_woman_ 
\\U0001f476, _emoj_baby_ 
\\U0001f477, _emoj_construction_worker_ 
\\U0001f478, _emoj_princess_ 
\\U0001f479, _emoj_japanese_ogre_ 
\\U0001f47a, _emoj_japanese_goblin_ 
\\U0001f47b, _emoj_ghost_ 
\\U0001f47c, _emoj_angel_ 
\\U0001f47d, _emoj_alien_ 
\\U0001f47e, _emoj_space_invader_ 
\\U0001f47f, _emoj_imp_ 
\\U0001f480, _emoj_skull_ 
\\U0001f481, _emoj_information_desk_person_ 
\\U0001f482, _emoj_guardsman_ 
\\U0001f483, _emoj_dancer_ 
\\U0001f484, _emoj_lipstick_ 
\\U0001f485, _emoj_nail_care_ 
\\U0001f486, _emoj_massage_ 
