\\U0001f30f, [emoj_earth_asia] 
\\U0001f310, [emoj_globe_with_meridians] 
\\U0001f311, [emoj_new_moon] 
\\U0001f312, [emoj_waxing_crescent_moon] 
\\U0001f313, [emoj_first_quarter_moon] 
\\U0001f314, [emoj_waxing_gibbous_moon] 
\\U0001f315, [emoj_full_moon] 
\\U0001f316, [emoj_waning_gibbous_moon] 
\\U0001f317, [emoj_last_quarter_moon] 
\\U0001f318, [emoj_waning_crescent_moon] 
\\U0001f319, [emoj_crescent_moon] 
\\U0001f31a, [emoj_new_moon_with_face] 
\\U0001f31b, [emoj_first_quarter_moon_with_face] 
\\U0001f31c, [emoj_last_quarter_moon_with_face] 
\\U0001f31d, [emoj_full_moon_with_face] 
\\U0001f31e, [emoj_sun_with_face] 
\\U0001f31f, [emoj_star2] 
\\U0001f320, [emoj_stars] 
\\U0001f330, [emoj_chestnut] 
\\U0001f331, [emoj_seedling] 
\\U0001f332, [emoj_evergreen_tree] 
\\U0001f333, [emoj_deciduous_tree] 
\\U0001f334, [emoj_palm_tree] 
\\U0001f335, [emoj_cactus] 
\\U0001f337, [emoj_tulip] 
\\U0001f338, [emoj_cherry_blossom] 
\\U0001f339, [emoj_rose] 
\\U0001f33a, [emoj_hibiscus] 
\\U0001f33b, [emoj_sunflower] 
\\U0001f33c, [emoj_blossom] 
\\U0001f33d, [emoj_corn] 
\\U0001f33e, [emoj_ear_of_rice] 
\\U0001f33f, [emoj_herb] 
\\U0001f340, [emoj_four_leaf_clover] 
\\U0001f341, [emoj_maple_leaf] 
\\U0001f342, [emoj_fallen_leaf] 
\\U0001f343, [emoj_leaves] 
\\U0001f344, [emoj_mushroom] 
\\U0001f345, [emoj_tomato] 
\\U0001f346, [emoj_eggplant] 
\\U0001f347, [emoj_grapes] 
\\U0001f348, [emoj_melon] 
\\U0001f349, [emoj_watermelon] 
\\U0001f34a, [emoj_tangerine] 
\\U0001f34b, [emoj_lemon] 
\\U0001f34c, [emoj_banana] 
\\U0001f34d, [emoj_pineapple] 
\\U0001f34e, [emoj_apple] 
\\U0001f34f, [emoj_green_apple] 
\\U0001f350, [emoj_pear] 
\\U0001f351, [emoj_peach] 
\\U0001f352, [emoj_cherries] 
\\U0001f353, [emoj_strawberry] 
\\U0001f354, [emoj_hamburger] 
\\U0001f355, [emoj_pizza] 
\\U0001f356, [emoj_meat_on_bone] 
\\U0001f357, [emoj_poultry_leg] 
\\U0001f358, [emoj_rice_cracker] 
\\U0001f359, [emoj_rice_ball] 
\\U0001f35a, [emoj_rice] 
\\U0001f35b, [emoj_curry] 
\\U0001f35c, [emoj_ramen] 
\\U0001f35d, [emoj_spaghetti] 
\\U0001f35e, [emoj_bread] 
\\U0001f35f, [emoj_fries] 
\\U0001f360, [emoj_sweet_potato] 
\\U0001f361, [emoj_dango] 
\\U0001f362, [emoj_oden] 
\\U0001f363, [emoj_sushi] 
\\U0001f364, [emoj_fried_shrimp] 
\\U0001f365, [emoj_fish_cake] 
\\U0001f366, [emoj_icecream] 
\\U0001f367, [emoj_shaved_ice] 
\\U0001f368, [emoj_ice_cream] 
\\U0001f369, [emoj_doughnut] 
\\U0001f36a, [emoj_cookie] 
\\U0001f36b, [emoj_chocolate_bar] 
\\U0001f36c, [emoj_candy] 
\\U0001f36d, [emoj_lollipop] 
\\U0001f36e, [emoj_custard] 
\\U0001f36f, [emoj_honey_pot] 
\\U0001f370, [emoj_cake] 
\\U0001f371, [emoj_bento] 
\\U0001f372, [emoj_stew] 
\\U0001f373, [emoj_egg] 
\\U0001f374, [emoj_fork_and_knife] 
\\U0001f375, [emoj_tea] 
\\U0001f376, [emoj_sake] 
\\U0001f377, [emoj_wine_glass] 
\\U0001f378, [emoj_cocktail] 
\\U0001f379, [emoj_tropical_drink] 
\\U0001f37a, [emoj_beer] 
\\U0001f37b, [emoj_beers] 
\\U0001f37c, [emoj_baby_bottle] 
\\U0001f380, [emoj_ribbon] 
\\U0001f381, [emoj_gift] 
\\U0001f382, [emoj_birthday] 
\\U0001f383, [emoj_jack_o_lantern] 
\\U0001f384, [emoj_christmas_tree] 
\\U0001f385, [emoj_santa] 
\\U0001f386, [emoj_fireworks] 
\\U0001f387, [emoj_sparkler] 
\\U0001f388, [emoj_balloon] 
\\U0001f389, [emoj_tada] 
\\U0001f38a, [emoj_confetti_ball] 
\\U0001f38b, [emoj_tanabata_tree] 
\\U0001f38c, [emoj_crossed_flags] 
\\U0001f38d, [emoj_bamboo] 
\\U0001f38e, [emoj_dolls] 
\\U0001f38f, [emoj_flags] 
\\U0001f390, [emoj_wind_chime] 
\\U0001f391, [emoj_rice_scene] 
\\U0001f392, [emoj_school_satchel] 
\\U0001f393, [emoj_mortar_board] 
\\U0001f3a0, [emoj_carousel_horse] 
\\U0001f3a1, [emoj_ferris_wheel] 
\\U0001f3a2, [emoj_roller_coaster] 
\\U0001f3a3, [emoj_fishing_pole_and_fish] 
\\U0001f3a4, [emoj_microphone] 
\\U0001f3a5, [emoj_movie_camera] 
\\U0001f3a6, [emoj_cinema] 
\\U0001f3a7, [emoj_headphones] 
\\U0001f3a8, [emoj_art] 
\\U0001f3a9, [emoj_tophat] 
\\U0001f3aa, [emoj_circus_tent] 
\\U0001f3ab, [emoj_ticket] 
\\U0001f3ac, [emoj_clapper] 
\\U0001f3ad, [emoj_performing_arts] 
\\U0001f3ae, [emoj_video_game] 
\\U0001f3af, [emoj_dart] 
\\U0001f3b0, [emoj_slot_machine] 
\\U0001f3b1, [emoj_8ball] 
\\U0001f3b2, [emoj_game_die] 
\\U0001f3b3, [emoj_bowling] 
\\U0001f3b4, [emoj_flower_playing_cards] 
\\U0001f3b5, [emoj_musical_note] 
\\U0001f3b6, [emoj_notes] 
\\U0001f3b7, [emoj_saxophone] 
\\U0001f3b8, [emoj_guitar] 
\\U0001f3b9, [emoj_musical_keyboard] 
\\U0001f3ba, [emoj_trumpet] 
\\U0001f3bb, [emoj_violin] 
\\U0001f3bc, [emoj_musical_score] 
\\U0001f3bd, [emoj_running_shirt_with_sash] 
\\U0001f3be, [emoj_tennis] 
\\U0001f3bf, [emoj_ski] 
\\U0001f3c0, [emoj_basketball] 
\\U0001f3c1, [emoj_checkered_flag] 
\\U0001f3c2, [emoj_snowboarder] 
\\U0001f3c3, [emoj_running] 
\\U0001f3c4, [emoj_surfer] 
\\U0001f3c6, [emoj_trophy] 
\\U0001f3c7, [emoj_horse_racing] 
\\U0001f3c8, [emoj_football] 
\\U0001f3c9, [emoj_rugby_football] 
\\U0001f3ca, [emoj_swimmer] 
\\U0001f3e0, [emoj_house] 
\\U0001f3e1, [emoj_house_with_garden] 
\\U0001f3e2, [emoj_office] 
\\U0001f3e3, [emoj_post_office] 
\\U0001f3e4, [emoj_european_post_office] 
\\U0001f3e5, [emoj_hospital] 
\\U0001f3e6, [emoj_bank] 
\\U0001f3e7, [emoj_atm] 
\\U0001f3e8, [emoj_hotel] 
\\U0001f3e9, [emoj_love_hotel] 
\\U0001f3ea, [emoj_convenience_store] 
\\U0001f3eb, [emoj_school] 
\\U0001f3ec, [emoj_department_store] 
\\U0001f3ed, [emoj_factory] 
\\U0001f3ee, [emoj_izakaya_lantern] 
\\U0001f3ef, [emoj_japanese_castle] 
\\U0001f3f0, [emoj_european_castle] 
\\U0001f400, [emoj_rat] 
\\U0001f401, [emoj_mouse2] 
\\U0001f402, [emoj_ox] 
\\U0001f403, [emoj_water_buffalo] 
\\U0001f404, [emoj_cow2] 
\\U0001f405, [emoj_tiger2] 
\\U0001f406, [emoj_leopard] 
\\U0001f407, [emoj_rabbit2] 
\\U0001f408, [emoj_cat2] 
\\U0001f409, [emoj_dragon] 
\\U0001f40a, [emoj_crocodile] 
\\U0001f40b, [emoj_whale2] 
\\U0001f40c, [emoj_snail] 
\\U0001f40d, [emoj_snake] 
\\U0001f40e, [emoj_racehorse] 
\\U0001f40f, [emoj_ram] 
\\U0001f410, [emoj_goat] 
\\U0001f411, [emoj_sheep] 
\\U0001f412, [emoj_monkey] 
\\U0001f413, [emoj_rooster] 
\\U0001f414, [emoj_chicken] 
\\U0001f415, [emoj_dog2] 
\\U0001f416, [emoj_pig2] 
\\U0001f417, [emoj_boar] 
\\U0001f418, [emoj_elephant] 
\\U0001f419, [emoj_octopus] 
\\U0001f41a, [emoj_shell] 
\\U0001f41b, [emoj_bug] 
\\U0001f41c, [emoj_ant] 
\\U0001f41d, [emoj_bee] 
\\U0001f41e, [emoj_beetle] 
\\U0001f41f, [emoj_fish] 
\\U0001f420, [emoj_tropical_fish] 
\\U0001f421, [emoj_blowfish] 
\\U0001f422, [emoj_turtle] 
\\U0001f423, [emoj_hatching_chick] 
\\U0001f424, [emoj_baby_chick] 
\\U0001f425, [emoj_hatched_chick] 
\\U0001f426, [emoj_bird] 
\\U0001f427, [emoj_penguin] 
\\U0001f428, [emoj_koala] 
\\U0001f429, [emoj_poodle] 
\\U0001f42a, [emoj_dromedary_camel] 
\\U0001f42b, [emoj_camel] 
\\U0001f42c, [emoj_flipper] 
\\U0001f42d, [emoj_mouse] 
\\U0001f42e, [emoj_cow] 
\\U0001f42f, [emoj_tiger] 
\\U0001f430, [emoj_rabbit] 
\\U0001f431, [emoj_cat] 
\\U0001f432, [emoj_dragon_face] 
\\U0001f433, [emoj_whale] 
\\U0001f434, [emoj_horse] 
\\U0001f435, [emoj_monkey_face] 
\\U0001f436, [emoj_dog] 
\\U0001f437, [emoj_pig] 
\\U0001f438, [emoj_frog] 
\\U0001f439, [emoj_hamster] 
\\U0001f43a, [emoj_wolf] 
\\U0001f43b, [emoj_bear] 
\\U0001f43c, [emoj_panda_face] 
\\U0001f43d, [emoj_pig_nose] 
\\U0001f43e, [emoj_paw_prints] 
\\U0001f440, [emoj_eyes] 
\\U0001f442, [emoj_ear] 
\\U0001f443, [emoj_nose] 
\\U0001f444, [emoj_lips] 
\\U0001f445, [emoj_tongue] 
\\U0001f446, [emoj_point_up_2] 
\\U0001f447, [emoj_point_down] 
\\U0001f448, [emoj_point_left] 
\\U0001f449, [emoj_point_right] 
\\U0001f44a, [emoj_facepunch] 
\\U0001f44b, [emoj_wave] 
\\U0001f44c, [emoj_ok_hand] 
\\U0001f44d, [emoj_thumbsup] 
\\U0001f44e, [emoj_-1] 
\\U0001f44f, [emoj_clap] 
\\U0001f450, [emoj_open_hands] 
\\U0001f451, [emoj_crown] 
\\U0001f452, [emoj_womans_hat] 
\\U0001f453, [emoj_eyeglasses] 
\\U0001f454, [emoj_necktie] 
\\U0001f455, [emoj_tshirt] 
\\U0001f456, [emoj_jeans] 
\\U0001f457, [emoj_dress] 
\\U0001f458, [emoj_kimono] 
\\U0001f459, [emoj_bikini] 
\\U0001f45a, [emoj_womans_clothes] 
\\U0001f45b, [emoj_purse] 
\\U0001f45c, [emoj_handbag] 
\\U0001f45d, [emoj_pouch] 
\\U0001f45e, [emoj_shoe] 
\\U0001f45f, [emoj_athletic_shoe] 
\\U0001f460, [emoj_high_heel] 
\\U0001f461, [emoj_sandal] 
\\U0001f462, [emoj_boot] 
\\U0001f463, [emoj_footprints] 
\\U0001f464, [emoj_bust_in_silhouette] 
\\U0001f465, [emoj_busts_in_silhouette] 
\\U0001f466, [emoj_boy] 
\\U0001f467, [emoj_girl] 
\\U0001f468, [emoj_man] 
\\U0001f469, [emoj_woman] 
\\U0001f46a, [emoj_family] 
\\U0001f46b, [emoj_couple] 
\\U0001f46c, [emoj_two_men_holding_hands] 
\\U0001f46d, [emoj_two_women_holding_hands] 
\\U0001f46e, [emoj_cop] 
\\U0001f46f, [emoj_dancers] 
\\U0001f470, [emoj_bride_with_veil] 
\\U0001f471, [emoj_person_with_blond_hair] 
\\U0001f472, [emoj_man_with_gua_pi_mao] 
\\U0001f473, [emoj_man_with_turban] 
\\U0001f474, [emoj_older_man] 
\\U0001f475, [emoj_older_woman] 
\\U0001f476, [emoj_baby] 
\\U0001f477, [emoj_construction_worker] 
\\U0001f478, [emoj_princess] 
\\U0001f479, [emoj_japanese_ogre] 
\\U0001f47a, [emoj_japanese_goblin] 
\\U0001f47b, [emoj_ghost] 
\\U0001f47c, [emoj_angel] 
\\U0001f47d, [emoj_alien] 
\\U0001f47e, [emoj_space_invader] 
\\U0001f47f, [emoj_imp] 
\\U0001f480, [emoj_skull] 
\\U0001f481, [emoj_information_desk_person] 
\\U0001f482, [emoj_guardsman] 
\\U0001f483, [emoj_dancer] 
\\U0001f484, [emoj_lipstick] 
\\U0001f485, [emoj_nail_care] 
\\U0001f486, [emoj_massage] 
\\U0001f487, [emoj_haircut] 
\\U0001f488, [emoj_barber] 
\\U0001f489, [emoj_syringe] 
\\U0001f48a, [emoj_pill] 
\\U0001f48b, [emoj_kiss] 
\\U0001f48c, [emoj_love_letter] 
\\U0001f48d, [emoj_ring] 
\\U0001f48e, [emoj_gem] 
\\U0001f48f, [emoj_couplekiss] 
\\U0001f490, [emoj_bouquet] 
\\U0001f491, [emoj_couple]+[emoj_heart] 
\\U0001f492, [emoj_wedding] 
\\U0001f493, [emoj_heart] 
\\U0001f494, [emoj_broken_heart] 
\\U0001f495, [emoj_heart]+[emoj_heart] 
\\U0001f496, [emoj_heart] 
\\U0001f497, [emoj_heart] 
\\U0001f498, [emoj_cupid] 
\\U0001f499, [emoj_heart] 
\\U0001f49a, [emoj_heart] 
\\U0001f49b, [emoj_heart] 
\\U0001f49c, [emoj_heart] 
\\U0001f49d, [emoj_gift]+[emoj_heart] 
\\U0001f49e, [emoj_heart]+[emoj_heart] 
\\U0001f49f, [emoj_heart] 
\\U0001f4a0, [emoj_diamond_shape_with_a_dot_inside] 
\\U0001f4a1, [emoj_bulb] 
\\U0001f4a2, [emoj_anger] 
\\U0001f4a3, [emoj_bomb] 
\\U0001f4a4, [emoj_zzz] 
\\U0001f4a5, [emoj_boom] 
\\U0001f4a6, [emoj_sweat_drops] 
\\U0001f4a7, [emoj_droplet] 
\\U0001f4a8, [emoj_dash] 
\\U0001f4a9, [emoj_shit] 
\\U0001f4aa, [emoj_muscle] 
\\U0001f4ab, [emoj_dizzy] 
\\U0001f4ac, [emoj_speech_balloon] 
\\U0001f4ad, [emoj_thought_balloon] 
\\U0001f4ae, [emoj_white_flower] 
\\U0001f4af, [emoj_100] 
\\U0001f4b0, [emoj_moneybag] 
\\U0001f4b1, [emoj_currency_exchange] 
\\U0001f4b2, [emoj_heavy_dollar_sign] 
\\U0001f4b3, [emoj_credit_card] 
\\U0001f4b4, [emoj_yen] 
\\U0001f4b5, [emoj_dollar] 
\\U0001f4b6, [emoj_euro] 
\\U0001f4b7, [emoj_pound] 
\\U0001f4b8, [emoj_money_with_wings] 
\\U0001f4b9, [emoj_chart] 
\\U0001f4ba, [emoj_seat] 
\\U0001f4bb, [emoj_computer] 
\\U0001f4bc, [emoj_briefcase] 
\\U0001f4bd, [emoj_minidisc] 
\\U0001f4be, [emoj_floppy_disk] 
\\U0001f4bf, [emoj_cd] 
\\U0001f4c0, [emoj_dvd] 
\\U0001f4c1, [emoj_file_folder] 
\\U0001f4c2, [emoj_open_file_folder] 
\\U0001f4c3, [emoj_page_with_curl] 
\\U0001f4c4, [emoj_page_facing_up] 
\\U0001f4c5, [emoj_date] 
\\U0001f4c6, [emoj_calendar] 
\\U0001f4c7, [emoj_card_index] 
\\U0001f4c8, [emoj_chart_with_upwards_trend] 
\\U0001f4c9, [emoj_chart_with_downwards_trend] 
\\U0001f4ca, [emoj_bar_chart] 
\\U0001f4cb, [emoj_clipboard] 
\\U0001f4cc, [emoj_pushpin] 
\\U0001f4cd, [emoj_round_pushpin] 
\\U0001f4ce, [emoj_paperclip] 
\\U0001f4cf, [emoj_straight_ruler] 
\\U0001f4d0, [emoj_triangular_ruler] 
\\U0001f4d1, [emoj_bookmark_tabs] 
\\U0001f4d2, [emoj_ledger] 
\\U0001f4d3, [emoj_notebook] 
\\U0001f4d4, [emoj_notebook_with_decorative_cover] 
\\U0001f4d5, [emoj_closed_book] 
\\U0001f4d6, [emoj_open_book] 
\\U0001f4d7, [emoj_green_book] 
\\U0001f4d8, [emoj_blue_book] 
\\U0001f4d9, [emoj_orange_book] 
\\U0001f4da, [emoj_books] 
\\U0001f4db, [emoj_name_badge] 
\\U0001f4dc, [emoj_scroll] 
\\U0001f4dd, [emoj_memo] 
\\U0001f4de, [emoj_telephone_receiver] 
\\U0001f4df, [emoj_pager] 
\\U0001f4e0, [emoj_fax] 
\\U0001f4e1, [emoj_satellite] 
\\U0001f4e2, [emoj_loudspeaker] 
\\U0001f4e3, [emoj_mega] 
\\U0001f4e4, [emoj_outbox_tray] 
\\U0001f4e5, [emoj_inbox_tray] 
\\U0001f4e6, [emoj_package] 
\\U0001f4e7, [emoj_e-mail] 
\\U0001f4e8, [emoj_incoming_envelope] 
\\U0001f4e9, [emoj_envelope_with_arrow] 
\\U0001f4ea, [emoj_mailbox_closed] 
\\U0001f4eb, [emoj_mailbox] 
\\U0001f4ec, [emoj_mailbox_with_mail] 
\\U0001f4ed, [emoj_mailbox_with_no_mail] 
\\U0001f4ee, [emoj_postbox] 
\\U0001f4ef, [emoj_postal_horn] 
\\U0001f4f0, [emoj_newspaper] 
\\U0001f4f1, [emoj_iphone] 
\\U0001f4f2, [emoj_calling] 
\\U0001f4f3, [emoj_vibration_mode] 
\\U0001f4f4, [emoj_mobile_phone_off] 
\\U0001f4f5, [emoj_no_mobile_phones] 
\\U0001f4f6, [emoj_signal_strength] 
\\U0001f4f7, [emoj_camera] 
\\U0001f4f9, [emoj_video_camera] 
\\U0001f4fa, [emoj_tv] 
\\U0001f4fb, [emoj_radio] 
\\U0001f4fc, [emoj_vhs] 
\\U0001f500, [emoj_twisted_rightwards_arrows] 
\\U0001f501, [emoj_repeat] 
\\U0001f502, [emoj_repeat_one] 
\\U0001f503, [emoj_arrows_clockwise] 
\\U0001f504, [emoj_arrows_counterclockwise] 
\\U0001f505, [emoj_low_brightness] 
\\U0001f506, [emoj_high_brightness] 
\\U0001f507, [emoj_mute] 
\\U0001f508, [emoj_speaker] 
\\U0001f509, [emoj_sound] 
\\U0001f50a, [emoj_loud_sound] 
\\U0001f50b, [emoj_battery] 
\\U0001f50c, [emoj_electric_plug] 
\\U0001f50d, [emoj_mag] 
\\U0001f50e, [emoj_mag_right] 
\\U0001f50f, [emoj_lock_with_ink_pen] 
\\U0001f510, [emoj_closed_lock_with_key] 
\\U0001f511, [emoj_key] 
\\U0001f512, [emoj_lock] 
\\U0001f513, [emoj_unlock] 
\\U0001f514, [emoj_bell] 
\\U0001f515, [emoj_no_bell] 
\\U0001f516, [emoj_bookmark] 
\\U0001f517, [emoj_link] 
\\U0001f518, [emoj_radio_button] 
\\U0001f519, [emoj_back] 
\\U0001f51a, [emoj_end] 
\\U0001f51b, [emoj_on] 
